id,route,departure,destination,icao_location,classification,selection_code,text,criticality,score,reason
NOTAM_1_79241257,OKC_JFK,KOKC,KJFK,KTIK,MIL,QFAXX,552 ACW RAMP SOUTH EDGE RAMP LIGHTS O/S,INFO,5,"Ramp lighting outage at unrelated military facility, no impact on KOKC-KJFK route."
NOTAM_1_79671025,OKC_JFK,KOKC,KJFK,KTIK,MIL,QMNXX,552 ACW RAMP CAUTION MEN AND CONSTRUCTION EQUIPMENT OPERATING ON EAST HALF OF RAMP. AIRCRAFT PARKING SPOTS A5-A9 AND B5-B9 CLOSED. SPOTS A4 AND B4 ARE TAXI OUT/TOW IN ONLY. AIRCRAFT NOT AUTHORIZED TO TAXI EAST OF SPOT A-3 AND B-3 WHEN PARKING. ENTRY/EXIT PATH TO THE RAMP USING TWY J IS CLOSED.,INFO,5,Military ramp construction at TIK unrelated to KOKC-KJFK commercial route.
NOTAM_1_79671060,OKC_JFK,KOKC,KJFK,KTIK,MIL,QMNXX,ECHO RAMP ENTRY/EXIT RESTRICTED TO TWY J AND TOW ONLY.,LOW,20,"Ramp restriction at unrelated airport, no impact on KOKC-KJFK route."
NOTAM_1_79959237,OKC_JFK,KOKC,KJFK,KTIK,MIL,QMXLC,"TWY D CLSD BTN RWY 18/36 AND TWY G, CAUTION MEN AND EQUIPMENT WORKING WITHIN 200 FT OF RWY 18/36.",LOW,25,Taxiway closure at TIK airport not on flight route KOKC-KJFK.
NOTAM_1_79618107,OKC_JFK,KOKC,KJFK,KHMY,MIL,QMRLL,RWY 18/36 OVERRUNS NOT DOCUMENTED ON CHARTS AND OTHER SUPPLEMENTS. DOCUMENTATION IN PROGRESS. RWY 18 OVERRUN MEASURES 73 FT EAST TO WEST AND 75 FT NORTH TO SOUTH RWY 36 OVERRUN MEASURES 73 FT EAST TO WEST AND 75 FT NORTH TO SOUTH,INFO,5,Military airport runway overrun documentation unrelated to commercial flight route.
NOTAM_1_80232488,OKC_JFK,KOKC,KJFK,KTIK,MIL,QOBXX,OBST MULTIPLE OBSTRUCTION LIGHTS OUT OF SERVICE ON 156FT AGL WATER TOWER 0.75NM NORTHWEST OF RWY 18 APPROACH END,LOW,25,Obstacle lighting outage at remote airport not on flight route.
NOTAM_1_80245752,OKC_JFK,KOKC,KJFK,KTIK,MIL,QMNXX,507 ARW RAMP CONST AREA - PARKING SPOT C-3 AND EAST TAXILANE BEHIND SPOT C-3 CLOSED. ACFT PARKING ON C-1 OR C-2 MAY TAXI SOUTH ON CENTER TAXILANE AND BE PUSHED BACK INTO SPOTS OR TAXI THROUGH ADJACENT PARKING SPOT IF VACANT.,INFO,5,"Military ramp construction at unrelated airport, no impact on KOKC-KJFK route."
NOTAM_1_80326038,OKC_JFK,KOKC,KJFK,KTIK,MIL,QMXLC,TWY G CLSD BTWN TWY B AND RWY 13/31.,LOW,25,Taxiway closure at military facility not on flight route.
NOTAM_1_80186464,OKC_JFK,KOKC,KJFK,KTUL,MIL,QOLAS,"OKLAHOMA AIR NTL GUARD RAMP TOWER OBST LGT OUT ON CENTRAL RADIO TOWER, BLDG OBST LGT OUT ON MAIN HANGER",LOW,20,Obstacle lighting outage at military facility not on flight route.
NOTAM_1_79563268,OKC_JFK,KOKC,KJFK,KMUI,MIL,QMNXX,PARKING PAD T-1 CLSD,INFO,5,Military parking pad closure at unrelated airport has no operational impact.
NOTAM_1_80177580,OKC_JFK,KOKC,KJFK,KMUI,MIL,QFAXX,TRANSIENT PARKING IS EXTREMELY LIMITED DUE TO RAMP CONSTRUCTION. MULTIPLE PARKING REQUESTS MAY NOT BE AVAILABLE UPON REQUEST,INFO,5,Military base parking limitation unrelated to commercial KOKC-KJFK route
